camera,site,treatment,total hours deployed,date,time,species,number,location,notes,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,9:40,porgy,1,above plot,deployed 9:30,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,9:54,porgy,1,above plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,10:30,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,10:32,juvenile striped sea robin ,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:00,unidentified large fish,1,above plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:11,juvenile black seabass,1,in plot,hard to tell,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:32,juvenile black seabass,1,in plot,same as 32,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:33,juvenile black seabass,1,in plot,same as 32,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:34,juvenile black seabass,1,in plot,same as 32,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:35,juvenile black seabass,1,in plot,same as 32,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:36,juvenile black seabass,1,in plot,same as 32,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:38,juvenile black seabass,2,in plot,group,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:39,juvenile black seabass,3,in plot,group,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:40,juvenile black seabass,2,in plot,group,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:44,porgy,1,above plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:49,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,12:13,small crab or snail,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,12:14,small crab or snail,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,12:38,porgy,1,above plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,13:13,juvenile black seabass,1,in plot,same as 14,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,13:14,juvenile black seabass,1,in plot,same as 14,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,13:15,juvenile black seabass,1,in plot,same as 14,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,13:16,juvenile black seabass,1,above plot,same as 14,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,13:30,juvenile black seabass,1,out of plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,13:32,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,13:34,juvenile black seabass,2,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:02,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:03,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:04,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:04,porgy,1,above plot,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:05,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:05,porgy,1,above plot,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:30,juvenile black seabass,1,just outside,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:31,juvenile black seabass,1,just outside,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:32,juvenile black seabass,1,just outside,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:33,juvenile black seabass,1,just outside,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:34,juvenile black seabass,1,just outside,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:59,juvenile black seabass,1,just outside,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,15:00,juvenile black seabass,1,just outside,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,15:01,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,15:03,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,15:05,juvenile black seabass,2,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,15:14,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,15:35,large unidentified fish,1,above plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,16:01,striped sea robin,1,above plot,only fin to ID,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,16:29,northern puffer,1,above plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,17:13,whelk or crab,1,in plot,blurry,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,17:21,small crab,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,17:22,small crab,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,17:40,porgy,1,above plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,18:15,porgy,1,above plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,18:21,porgy,1,above plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,18:25,porgy,1,above plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/3/2022,6:56,porgy,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/3/2022,7:20,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/3/2022,7:38,porgy,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/3/2022,8:39,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/3/2022,9:02,northern puffer,1,in plot,pulled 9:30,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/2/2022,9:23,juvenile black seabass,1,in plot,much harder to see due to macroalgae,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/2/2022,9:30-7:30,macroalgae,,,totally blocking plot,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/2/2022,10:26,large unidentified fish,1,above plot,,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/2/2022,10:26,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/2/2022,11:22,juvenile black seabass,1,above plot,same,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/2/2022,11:23,juvenile black seabass,1,above plot,same,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/2/2022,11:24,juvenile black seabass,1,above plot,same,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/2/2022,11:27,juvenile black seabass,1,above plot,,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/2/2022,11:36,unidentified large fish,1,above plot,far away,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/2/2022,11:39,juvenile black seabass,1,above plot,,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/2/2022,11:40,juvenile black seabass,1,above plot,,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/2/2022,17:31,porgy,1,above plot,,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/2/2022,18:03,large unidentified fish,1,above plot,,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/2/2022,19:29,juvenile black seabass,1,above plot,,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/2/2022,19:25,large unidentified fish,1,above plot,,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/2/2022,19:18,small unidentified fish,1,above plot,,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/2/2022,18:34,porgy,1,above plot,,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/3/2022,7:07,porgy,1,above plot,,,,,,,,,,,,,,,,,,
9,Orient Point,corral,24,8/3/2022,8:46,juvenile striped sea robin ,1,above plot,pulled 9:30,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,11:26,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,11:31,porgy,1,outside of plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,11:40,possible crab,1,outside of plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,11:42,porgy,1,outside of plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,11:48,porgy,1,outside of plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,11:50,porgy,3,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,11:52,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,11:53,porgy,2,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,11:59,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:03,porgy,2,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:04,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:05,porgy,2,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:08,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:09,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:11,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:13,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:17,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:20,unidentified small fish,2,outside of plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:21,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:22,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:25,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:30,porgy,2,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:33,porgy,2,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:35,porgy,1,outside of plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:38,porgy,2,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:41,juvenile black seabass,2,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:41,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:42,porgy,2,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:42,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:43,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:44,porgy,2,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:45,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:46,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:46,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:48,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:51,porgy,1,in plot,starting taking 3 pics a minute i only look at first one,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:52,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:54,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:56,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:57,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:58,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,12:59,porgy,1,above plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,13:03,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,13:13,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,13:16,porgy,3,above plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,13:32,unidentified small fish,1,in plot,cant tell BSB or BF,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,13:23,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,13:25,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,13:26,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,13:27,porgy,2,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,13:32,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,13:38,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,13:38,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,13:42,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,13:46,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,13:48,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,13:49,juvenile black seabass,4,above plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,13:50,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,13:58,porgy,1,above plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:00,unidentified small fish,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:07,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:11,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:13,porgy,1,above plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:14,porgy,1,above plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:24,porgy,1,above plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:33,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:35,juvenile black seabass,2,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:36,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:37,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:38,juvenile black seabass,1,above plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:39,juvenile black seabass,2,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:40,porgy,1,above plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:40,juvenile black seabass,2,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:45,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:46,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:53,porgy,2,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:57,porgy,1,above plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,14:59,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:02,porgy,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:04,porgy,1,above plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:05,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:06,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:07,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:08,juvenile black seabass,2,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:09,juvenile black seabass,3,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:10,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:11,juvenile black seabass,3,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:12,juvenile black seabass,2,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:13,juvenile black seabass,3,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:14,juvenile black seabass,2,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:15,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:16,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:17,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:19,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:20,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:21,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:22,porgy,1,above plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:22,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:23,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:24,juvenile black seabass,3,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:25,juvenile black seabass,2,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:26,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:27,juvenile black seabass,2,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:28,juvenile black seabass,2,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:29,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:30,juvenile black seabass,2,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/2/2022,15:30-18:30,"juvenile black seabass present in all photos, scup present intermittently",,,one seabass stays ~1 hr,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/3/2022,7:22,porgy,1,outsode of plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/3/2022,7:29,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/3/2022,7:31,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/3/2022,7:35,porgy,1,outsode of plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/3/2022,7:41,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/3/2022,7:51-7:57,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/3/2022,8:00,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/3/2022,08:02-08:13,juvenile black seabass,multiple,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/3/2022,08:00 -09:15,some unidentifiable fish,multiple,in plot,too blurry to ID anything,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/3/2022,9:26:00 AM - 9:32,juvenile black seabass,multiple,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/3/2022,09:38-09:41,juvenile black seabass,multiple,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/3/2022,9:47:00 AM - 09:55,juvenile black seabass,multiple,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/3/2022,09:57-10:05,juvenile black seabass,multiple,in plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/3/2022,10:06,porgy,1,above plot,,,,,,,,,,,,,,,,,,
3,NW Harbor,control,24,8/3/2022,10:13:00 AM -10:20,juvenile black seabass,1,in plot,pulled 10:36,,,,,,,,,,,,,,,,,
7,NW Harbor,control,24,8/2/2022,11:04,porgy,1,in plot,,,,,,,,,,,,,,,,,,
7,NW Harbor,control,24,8/2/2022,11:15-?,macroalgae,1,whole plot,covered in macroalgae,,,,,,,,,,,,,,,,,
7,NW Harbor,control,24,8/2/2022,12:16,juvenile black seabass,1,outside of plot,,,,,,,,,,,,,,,,,,
7,NW Harbor,control,24,8/2/2022,12:23,large unidentified fish,1,above plot,,,,,,,,,,,,,,,,,,
7,NW Harbor,control,24,8/2/2022,12:55,small unidentified fish,1,above plot,,,,,,,,,,,,,,,,,,
7,NW Harbor,control,24,8/2/2022,14:46,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
7,NW Harbor,control,24,8/2/2022,17:00,small unidentified fish,1,above plot,,,,,,,,,,,,,,,,,,
7,NW Harbor,control,24,8/2/2022,17:04,small unidentified fish,1,above plot,,,,,,,,,,,,,,,,,,
7,NW Harbor,control,24,8/3/2022,7:34,juvenile black seabass,1,above plot,,,,,,,,,,,,,,,,,,
7,NW Harbor,control,24,8/3/2022,9:08,juvenile black seabass,1,above plot,,,,,,,,,,,,,,,,,,
7,NW Harbor,control,24,8/3/2022,9:08,porgy,2,above plot,,,,,,,,,,,,,,,,,,
7,NW Harbor,control,24,8/3/2022,9:11,porgy,1,above plot,,,,,,,,,,,,,,,,,,
7,NW Harbor,control,24,8/3/2022,9:39,northern puffer,1,above plot,,,,,,,,,,,,,,,,,,
7,NW Harbor,control,24,8/3/2022,10:21,large unidentified fish,1,above plot,,,,,,,,,,,,,,,,,,
8,Mattituck,cage,24,8/2/2022,NA,NA,NA,NA,failed,,,,,,,,,,,,,,,,,
6,Mattituck,control,24,8/2/2022,NA,NA,NA,NA,didnt start recording until 8/3 AM,,,,,,,,,,,,,,,,,
6,Mattituck,control,24,8/3/2022,8:12,spider crab,1,outside of plot,,,,,,,,,,,,,,,,,,
6,Mattituck,control,24,8/3/2022,8:14,small unidentified fish,1,above plot,,,,,,,,,,,,,,,,,,
6,Mattituck,control,24,8/3/2022,9:06,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
6,Mattituck,control,24,8/3/2022,9:59,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
6,Mattituck,control,24,8/3/2022,12:05,porgy,1,above plot,,,,,,,,,,,,,,,,,,
2,Cowyard,cage,24,8/2/2022,15:53,large unidentified fish,1,in plot,visibility extremely poor. red. sediment. there were other fish but i couldnt make out species,,,,,,,,,,,,,,,,,
2,Cowyard,cage,24,8/2/2022,16:08,juvenile black seabass,,,,,,,,,,,,,,,,,,,,
2,Cowyard,cage,24,8/2/2022,16:47,small crab or snail,1,in plot,,,,,,,,,,,,,,,,,,
2,Cowyard,cage,24,8/2/2022,17:04,spider crab,1,in plot,,,,,,,,,,,,,,,,,,
2,Cowyard,cage,24,8/3/2022,8:56,porgy,1,in plot,,,,,,,,,,,,,,,,,,
2,Cowyard,cage,24,8/3/2022,9:08,small unidentified fish,1,above plot,,,,,,,,,,,,,,,,,,
2,Cowyard,cage,24,8/3/2022,9:31,small unidentified fish,1,above plot,,,,,,,,,,,,,,,,,,
2,Cowyard,cage,24,8/3/2022,12:12,large phyoplankton mass ,1,whole plot,,,,,,,,,,,,,,,,,,
2,Cowyard,cage,24,8/3/2022,13:45,small unidentified fish,1,in plot,,,,,,,,,,,,,,,,,,
4,Cowyard,control,24,8/2/2022,15:24,whelk,1,in plot,,,,,,,,,,,,,,,,,,
4,Cowyard,control,24,8/3/2022,15:25,whelk,1,in plot,,,,,,,,,,,,,,,,,,
4,Cowyard,control,24,8/3/2022,15:41,whelk,1,in plot,on scallop,,,,,,,,,,,,,,,,,
4,Cowyard,control,24,8/3/2022,16:10,large unidentified fish,1,above plot,gets too dark after 5 pm,,,,,,,,,,,,,,,,,
